Data,Model,Category,Logic,Cruise Multiply,Year,Constant,Fuel Weight,Cruise Time,Number of Cabin Crew,Fuel Tank Volume,Fleet Size,Utilisation,AFD,Aircraft Cost (in Million),Age of Type of Aircraft,Number of Seats,Average age,Number of Tires,Number of Engines,Thrust,MTOW,Fuselage Length,Fuselage Diameter,Mach Number,Range,Wing Area,Wing Span
Units,Units,Units,,FALSE,Units,,kg,hr,,L,,,hr,,yr,,yr,,,lbf,kg,m,m,,km,m^2,m
Fuel,Basic;Full_A;Full_B;Full_C;Full_D;Min_Fuel,Fuel,SUM,FALSE,2025,0,0.646,,,,,,,,,,,,,,,,,,,,
Flight Crew,Basic;Full_A;Full_B;Full_C;Full_D,Flight Crew,FCREW,FALSE,2010,0,,1,,,,,,,,,,,,,1,,,,,,
Cabin Crew,Basic;Full_A;Full_B;Full_C;Full_D,Cabin Crew,PROD,FALSE,2010,81,,1,1,,,,,,,,,,,,,,,,,,
Aircraft Cost Basic,Basic,"Depreciation, Aircraft Cost",SUM,FALSE,2022,4351500,,,,,,,,,,,,,,,1090.8,,,,,,
"Engine Cost Basic (Placeholder, assume zero)",Basic,"Depreciation, Engine Cost",SUM,FALSE,2025,0,,,,,,,,,,,,,,,,,,,,,
Line Maintenance,Full_A;Full_B;Full_C;Full_D,"Maintenance, Miscellaneous",SUM,TRUE,2013,190.4,,,,,0.0269,-17.763,13.338,0.8728,,,0.1384,,,,,,,,,,
Base Maintenance,Full_A;Full_B;Full_C;Full_D,"Maintenance, Miscellaneous",SUM,TRUE,2013,142.8,,,,,0.0202,-13.322,10.004,0.6546,,,0.1038,,,,,,,,,,
Engine Overhaul,Full_A;Full_B;Full_C;Full_D,"Maintenance, Engine",SUM,TRUE,2013,135.16,,,,,,-19.754,,,-0.2268,,,,110.72,0.0055,,,,,,,
Autopilot,Full_A;Full_B;Full_C;Full_D,"Maintenance, Systems",SUM,TRUE,2013,2.7564,,,,,,0.1178,,0.0175,-0.0084,,-0.0065,,,,,,,,,,
Communications,Full_A;Full_B;Full_C;Full_D,"Maintenance, Systems",SUM,TRUE,2013,5.1822,,,,,0.0013,-0.1459,1.02,-0.006,0.2124,,,,,,,,,,,,
Electrical,Full_A;Full_B;Full_C;Full_D,"Maintenance, Systems",SUM,TRUE,2013,7.0216,,,,,,-0.3866,,0.0423,,0.0003,,,,,,,,,,,
Equipment/furnishings,Full_A;Full_B;Full_C;Full_D,"Maintenance, Systems",SUM,TRUE,2013,5.6303,,,,,,-0.0389,1.363,,,0.0232,,,,,,,,,,,
Flight Controls,Full_A;Full_B;Full_C;Full_D,"Maintenance, Systems",SUM,TRUE,2013,9.7101,,,,,,-0.7535,0.499,0.0503,0.0204,-0.0004,,,,,,,,,,,
Fuel System,Full_A;Full_B;Full_C;Full_D,"Maintenance, Systems",SUM,TRUE,2013,4.8767,,,,,,1.5254,,,-0.2268,0.0484,-0.0111,,,,,,,,,,
Hydraulic Power,Full_A;Full_B;Full_C;Full_D,"Maintenance, Systems",SUM,TRUE,2013,3.4695,,,,,,,0.638,,-0.0504,0.0127,,,,,,,,,,,
Instruments,Full_A;Full_B;Full_C;Full_D,"Maintenance, Systems",SUM,TRUE,2013,1.9568,,,,,0.0005,-0.0551,0.385,-0.0022,0.0804,,,,,,,,,,,,
Wheels and Brakes,Full_A;Full_B;Full_C;Full_D,"Maintenance, Landing Gear",SUM,TRUE,2013,53.163,,,,,,-3.8567,2.668,0.273,0.0408,,,0.5725,,,,,,,,,
Landing Gear,Full_A;Full_B;Full_C;Full_D,"Maintenance, Landing Gear",SUM,TRUE,2013,12.405,,,,,,-0.8999,0.622,0.0637,0.0096,,,0.1336,,,,,,,,,
Navigation,Full_A;Full_B;Full_C;Full_D,"Maintenance, Systems",SUM,TRUE,2013,11.491,,,,,-0.0039,,0.484,0.063,0.1164,0.0108,-0.2987,,,,,,,,,,
APU,Full_A;Full_B;Full_C;Full_D,"Maintenance, Engine",SUM,TRUE,2013,8.0316,,,,,,0.7763,3.984,,,,,,,,,,,,,,
Thrust reversers,Full_A;Full_B;Full_C;Full_D,"Maintenance, Engine",SUM,TRUE,2013,5.181,,,,,,-0.7572,,,-0.0084,,,,4.2443,0.0002,,,,,,,
"Aircraft Cost, Large Size Aircraft",Full_A,"Depreciation, Aircraft Cost",SUM,FALSE,2022,-289755000,,,,,,,,,,,,,,-3951.1584,1920,4935700,,,,155450,
"Aircraft Cost, Mid-Size Aircraft",Full_B,"Depreciation, Aircraft Cost",SUM,FALSE,2022,-101344000,,,,-1450,,,,,,290000,,,,,536,,-9230000,,6150,,4058000
"Aircraft Cost, Small-Size Aircraft",Full_C,"Depreciation, Aircraft Cost",SUM,FALSE,2022,-4787000,,,,-7220,,,,,,879000,,,,5030.688,1280,-2946000,,133018000,-6460,-626600,
"Aircraft Cost, Personal Aircraft",Full_D,"Depreciation, Aircraft Cost",SUM,FALSE,2022,-8833000,,,,1560,,,,,,-370000,,,,,,1420000,,,-1530,,
Engine Cost,Full_A;Full_B;Full_C;Full_D,"Depreciation, Engine Cost",PROD,FALSE,2010,145.2,,,,,,,,,,,,,1,1,,,,,,,
